N,P,K,temperature,humidity,ph,rainfall,label
79,57,39,23.59,78.97,6.37,185.5,Jute
76,60,43,24.82,83.18,6.54,175.41,Jute
73,53,44,25.96,84.21,7.07,184.72,Jute
64,60,45,24.72,77.75,6.94,184.71,Jute
75,36,40,25.66,83.23,6.84,169.92,Jute
89,47,38,24.78,70.87,6.63,187.19,Jute
82,59,39,25.58,83.56,7.64,177.41,Jute
65,53,45,24.61,83.81,7.19,193.11,Jute
79,41,39,25.55,84.14,6.83,167.96,Jute
84,53,41,24.0,78.69,7.08,149.91,Jute
52,59,41,25.73,74.22,7.0,179.75,Jute
58,58,40,24.52,77.71,5.89,185.48,Jute
81,45,43,23.34,76.62,6.36,169.78,Jute
78,50,38,23.95,88.03,7.66,177.38,Jute
68,58,35,24.6,76.12,6.24,169.76,Jute
67,47,40,24.25,77.75,6.61,189.38,Jute
76,53,41,25.69,86.54,6.25,166.28,Jute
99,44,31,24.76,80.27,5.65,198.81,Jute
69,49,39,23.45,74.25,6.33,194.34,Jute
76,42,37,26.44,86.92,7.17,183.66,Jute
81,37,39,24.18,70.47,7.12,162.28,Jute
92,54,41,25.74,76.52,7.44,175.58,Jute
81,41,37,25.57,80.69,6.38,148.91,Jute
62,56,38,24.59,86.85,6.25,161.71,Jute
68,59,45,25.9,83.52,6.47,209.85,Jute
81,53,39,24.68,87.92,6.92,200.92,Jute
81,40,38,25.12,76.47,6.26,196.43,Jute
71,48,40,24.29,86.85,6.25,179.51,Jute
80,46,36,26.04,83.32,6.43,187.53,Jute
82,36,37,26.37,81.15,6.47,159.35,Jute
71,43,37,22.91,85.3,7.09,151.88,Jute
79,39,39,24.59,77.46,7.5,166.87,Jute
68,40,43,23.02,75.79,7.28,179.19,Jute
80,64,40,24.15,78.19,6.25,197.41,Jute
84,55,43,24.5,74.88,6.68,159.09,Jute
79,56,39,25.18,79.13,7.02,162.78,Jute
51,50,42,25.54,76.4,6.25,183.7,Jute
79,45,45,23.86,88.48,6.71,141.76,Jute
75,54,38,23.23,78.78,6.36,183.65,Jute
87,38,37,25.91,75.31,6.27,153.58,Jute
82,49,37,25.01,87.24,6.31,139.67,Jute
83,46,37,25.78,83.8,5.82,163.05,Jute
105,51,42,26.41,79.69,7.02,187.73,Jute
84,44,40,24.29,79.66,6.23,160.57,Jute
74,39,38,24.8,81.61,7.08,166.45,Jute
94,54,41,25.18,81.2,7.17,196.82,Jute
94,47,41,26.61,76.48,6.57,175.09,Jute
88,54,39,23.19,80.83,6.33,147.98,Jute
62,49,44,25.05,80.66,7.17,147.0,Jute
84,46,41,24.42,75.51,6.76,204.49,Jute
88,42,35,22.98,86.18,6.32,168.94,Jute
93,34,44,24.7,73.86,6.6,161.79,Jute
83,41,34,24.74,72.82,6.78,153.43,Jute
72,48,39,25.3,83.0,6.24,173.64,Jute
38,48,39,23.82,81.18,7.17,166.23,Jute
66,48,35,24.21,85.71,6.72,140.97,Jute
56,48,42,23.06,81.85,7.23,208.78,Jute
81,51,33,27.52,76.72,6.33,170.21,Jute
96,64,40,26.2,79.82,6.28,201.38,Jute
70,59,43,25.74,88.74,7.59,171.65,Jute
68,32,46,24.47,85.28,6.4,202.49,Jute
69,37,39,24.36,82.58,6.68,186.1,Jute
74,41,38,27.45,80.73,5.91,165.44,Jute
79,61,43,23.89,91.69,6.69,197.23,Jute
64,27,35,21.1,90.16,6.79,158.16,Jute
83,48,41,26.45,78.15,6.35,189.7,Jute
87,47,46,24.47,75.1,6.87,162.65,Jute
83,40,38,27.27,77.57,6.38,195.87,Jute
65,41,41,26.13,85.7,6.4,185.53,Jute
72,42,43,24.34,80.99,6.76,155.53,Jute
89,51,34,25.33,75.74,7.14,148.78,Jute
96,31,30,27.18,48.27,7.46,171.23,Coffee
117,35,29,22.67,54.96,7.44,192.74,Coffee
93,9,29,24.87,57.15,7.01,180.01,Coffee
112,32,24,24.75,75.03,6.95,167.3,Coffee
105,31,22,24.97,58.63,7.31,159.29,Coffee
81,32,27,22.82,53.06,7.02,189.57,Coffee
106,33,31,25.72,63.78,5.83,160.88,Coffee
88,37,29,25.57,48.36,7.21,173.78,Coffee
107,23,27,25.99,54.04,6.97,104.08,Coffee
95,41,31,25.87,72.8,5.87,137.72,Coffee
96,35,32,23.59,65.89,6.64,188.39,Coffee
88,28,28,27.82,55.24,6.78,170.77,Coffee
107,35,30,24.58,56.45,6.81,164.34,Coffee
99,29,25,26.97,60.17,7.2,158.1,Coffee
80,26,29,27.13,44.41,6.82,170.94,Coffee
93,29,28,23.89,56.04,6.52,175.19,Coffee
92,22,35,27.61,45.87,6.49,164.16,Coffee
104,18,33,27.32,62.27,7.34,169.41,Coffee
106,39,33,23.65,63.33,6.53,170.7,Coffee
106,19,29,26.08,55.85,6.93,178.25,Coffee
100,30,34,26.54,60.31,6.42,174.88,Coffee
104,37,30,21.5,47.0,7.09,143.85,Coffee
106,29,29,25.29,52.84,6.79,143.49,Coffee
96,26,29,27.53,57.99,7.21,196.55,Coffee
111,32,30,27.4,59.53,7.19,173.45,Coffee
96,35,30,25.27,55.57,6.87,183.01,Coffee
111,31,31,28.3,57.85,6.35,190.63,Coffee
94,24,24,26.76,47.55,6.5,172.81,Coffee
109,24,29,23.58,55.06,6.91,145.56,Coffee
98,18,33,26.62,64.45,7.32,137.47,Coffee
96,15,39,25.17,66.17,6.3,183.01,Coffee
123,28,26,25.19,43.31,6.78,178.62,Coffee
100,27,31,26.83,47.28,6.84,219.0,Coffee
84,28,35,27.93,55.31,6.88,158.05,Coffee
92,28,29,25.75,53.66,6.29,157.07,Coffee
121,29,29,27.16,57.79,7.55,158.0,Coffee
109,23,31,26.11,58.5,6.6,142.15,Coffee
104,33,29,26.13,58.63,6.84,153.09,Coffee
101,47,30,26.92,61.97,6.69,190.45,Coffee
97,36,28,23.39,61.46,6.36,171.49,Coffee
86,26,25,31.71,47.32,6.8,186.68,Coffee
113,34,29,28.47,65.29,6.88,164.11,Coffee
97,22,33,28.39,52.71,6.74,154.51,Coffee
100,29,32,23.86,52.98,7.29,146.53,Coffee
85,25,29,28.92,65.37,7.26,178.6,Coffee
112,24,29,23.32,57.43,7.07,161.46,Coffee
116,21,31,22.75,59.56,7.1,152.74,Coffee
107,22,25,26.73,71.11,6.4,188.65,Coffee
101,19,26,25.53,56.07,6.27,115.75,Coffee
90,30,29,24.4,60.31,7.22,167.95,Coffee
99,35,27,25.01,57.49,6.31,147.6,Coffee
76,42,27,28.99,59.17,7.03,145.88,Coffee
103,33,31,27.2,56.32,6.61,118.25,Coffee
107,36,34,26.17,53.53,6.12,184.14,Coffee
79,26,29,25.35,59.15,6.86,97.72,Coffee
101,13,32,24.28,43.8,6.47,143.85,Coffee
115,30,31,28.1,58.23,7.1,175.2,Coffee
85,39,25,27.52,48.28,7.04,204.65,Coffee
98,27,31,24.78,71.63,6.88,150.1,Coffee
94,22,28,24.73,55.49,6.54,210.57,Coffee
88,30,31,26.89,58.49,6.7,169.39,Coffee
104,27,25,24.47,50.87,6.53,158.93,Coffee
105,41,28,27.2,61.04,7.32,172.51,Coffee
88,16,30,24.34,52.04,6.29,162.12,Coffee
119,26,31,25.28,49.87,7.09,130.73,Coffee
101,26,32,23.17,61.64,6.46,145.32,Coffee
57,43,31,23.81,51.03,6.6,176.02,Coffee
78,28,35,23.01,59.46,7.68,173.9,Coffee
102,32,28,28.36,56.1,6.02,148.32,Coffee
89,27,29,28.13,63.77,6.91,158.03,Coffee
88,13,30,27.25,58.14,6.59,169.71,Coffee
100,40,33,27.61,64.2,6.28,174.67,Coffee
105,33,31,26.5,77.81,6.77,181.51,Coffee
95,34,32,26.3,70.58,6.45,145.92,Coffee
103,35,30,28.33,54.27,6.34,165.8,Coffee
100,32,29,24.75,58.38,6.81,150.48,Coffee
98,26,32,25.93,74.7,6.86,144.33,Coffee
133,31,32,26.8,63.26,7.01,130.55,Coffee
105,19,29,23.9,61.4,6.93,170.13,Coffee
104,24,29,27.52,66.37,6.34,119.83,Coffee
92,36,33,23.47,61.05,7.53,168.48,Coffee
118,35,27,25.08,59.14,6.84,181.01,Coffee
105,8,26,20.69,60.13,6.9,165.18,Coffee
89,33,32,22.74,48.64,6.8,202.89,Coffee
121,32,27,27.45,55.73,6.49,104.5,Coffee
102,24,30,20.44,60.09,5.83,185.3,Coffee
107,27,31,23.35,59.41,7.12,80.74,Coffee
95,28,29,28.71,51.03,6.55,110.2,Coffee
119,27,28,25.38,63.35,6.94,224.3,Coffee
106,25,28,24.64,48.39,6.82,177.69,Coffee
93,23,34,22.36,44.43,6.34,119.59,Coffee
105,26,29,28.04,54.06,7.11,195.88,Coffee
95,34,29,27.53,47.9,6.14,148.32,Coffee
90,25,29,27.08,56.05,6.47,149.31,Coffee
91,22,25,25.65,54.92,7.19,121.92,Coffee
94,41,27,24.98,50.39,6.26,196.78,Coffee
103,29,24,26.29,67.0,7.26,174.81,Coffee
87,31,32,21.55,51.05,7.16,180.0,Coffee
82,34,30,27.22,54.46,7.06,179.2,Coffee
96,29,28,29.13,58.06,6.43,140.2,Coffee
